iter	Logloss
0	0.6894342174
1	0.6858600119
2	0.6824679831
3	0.6789089037
4	0.6759022588
5	0.6727284307
6	0.6686873726
7	0.665811688
8	0.662358823
9	0.6595205556
10	0.6563626497
11	0.6535001672
12	0.6506863138
13	0.647543335
14	0.6440665204
15	0.6412382706
16	0.6384971287
17	0.6362210481
18	0.6338710619
19	0.6312035602
20	0.6283051201
21	0.626071366
22	0.6235657402
23	0.6207234922
24	0.6183896936
25	0.6154513152
26	0.6129801875
27	0.6102556975
28	0.6075100443
29	0.6046248726
30	0.6020121035
31	0.5989411727
32	0.596647246
33	0.5940955784
34	0.5922447536
35	0.5896874469
36	0.5872990484
37	0.5852608722
38	0.5830515322
39	0.5812602831
40	0.5790873652
41	0.5771201756
42	0.5752569447
43	0.5729629517
44	0.5708380658
45	0.5689699256
46	0.5668718421
47	0.5655513598
48	0.5637171206
49	0.5614453523
50	0.5590925134
51	0.5575710131
52	0.5554522639
53	0.5536585932
54	0.5520268979
55	0.5500845536
56	0.5484616819
57	0.5466029623
58	0.5449094358
59	0.5436046434
60	0.5420193216
61	0.540105007
62	0.5388151418
63	0.5371266241
64	0.5357385387
65	0.5344055507
66	0.5327015752
67	0.5311138651
68	0.5292660257
69	0.5280838013
70	0.526602969
71	0.5251219045
72	0.5234207153
73	0.5220550205
74	0.5203403639
75	0.5193100639
76	0.5182211503
77	0.5168093142
78	0.5153276526
79	0.5140839286
80	0.5125884015
81	0.5111607427
82	0.5095424486
83	0.5080140155
84	0.5067735423
85	0.5055593076
86	0.5042994955
87	0.5032258407
88	0.5022101029
89	0.5006432906
90	0.4992926224
91	0.4982187354
92	0.4972310605
93	0.4958165044
94	0.4946155714
95	0.4936827286
96	0.4924484916
97	0.4909567128
98	0.4902462503
99	0.488801044
100	0.4875657455
101	0.4867176885
102	0.4856209796
103	0.4842713729
104	0.4833021413
105	0.4822514741
106	0.4812480097
107	0.4802421238
108	0.4788913893
109	0.4776133662
110	0.4767941682
111	0.4757917985
112	0.4749208865
113	0.473755115
114	0.4728267836
115	0.4719378927
116	0.4711399244
117	0.4700499161
118	0.4688337907
119	0.468055327
120	0.4672411048
121	0.4663117119
122	0.4656129257
123	0.4648553268
124	0.46406522
125	0.4629686107
126	0.4618483502
127	0.461018637
128	0.4599971605
129	0.4589468583
130	0.4579067396
131	0.4568124522
132	0.4559862883
133	0.4553000409
134	0.4545112942
135	0.4537803982
136	0.4530954776
137	0.4521690369
138	0.451360885
139	0.4504030642
140	0.4495451554
141	0.4487493432
142	0.4477007659
143	0.4468136995
144	0.445906863
145	0.4454147339
146	0.4448518836
147	0.4439375172
148	0.4431076713
149	0.4422616046
150	0.4414925285
151	0.4408039922
152	0.4400749538
153	0.4392176753
154	0.4382876189
155	0.4375152256
156	0.4367138407
157	0.4356112273
158	0.4349096547
159	0.4341878145
160	0.4335582567
161	0.433115785
162	0.4323932814
163	0.4317728126
164	0.4311893629
165	0.4306024966
166	0.4300763669
167	0.429486482
168	0.4286325869
169	0.4279944378
170	0.4274939496
171	0.4270429528
172	0.4262979259
173	0.4253064363
174	0.424798982
175	0.4243723994
176	0.4235572815
177	0.4228006446
178	0.422187971
179	0.4215477321
180	0.4208657306
181	0.4202682495
182	0.4197667661
183	0.4193567027
184	0.4188484524
185	0.4179753843
186	0.4174905528
187	0.4169398432
188	0.4160400391
189	0.4156928684
190	0.4151025192
191	0.4144868934
192	0.4139480923
193	0.4133387027
194	0.4129134137
195	0.4124678239
196	0.4118551503
197	0.41142399
198	0.4107473622
199	0.4103839708
200	0.4096288266
201	0.4091408771
202	0.408591428
203	0.4081223198
204	0.4078170113
205	0.4070732117
206	0.4065392867
207	0.4061380138
208	0.4055100814
209	0.4050755376
210	0.404277901
211	0.4037626847
212	0.4032759957
213	0.4024579587
214	0.4021280703
215	0.4018892039
216	0.4014515752
217	0.4008349211
218	0.4004205455
219	0.3998064124
220	0.3993343187
221	0.3989176543
222	0.39859785
223	0.3981052565
224	0.3975872206
225	0.3970671944
226	0.3968474015
227	0.396352884
228	0.3956684942
229	0.3951171212
230	0.3949360723
231	0.3943682795
232	0.3938799651
233	0.3934988934
234	0.3930289227
235	0.39257368
236	0.392086792
237	0.391753487
238	0.3912402277
239	0.3909838469
240	0.390718543
