iter	Passed	Remaining
0	4	4519
1	7	3922
2	12	4318
3	16	4093
4	19	3894
5	22	3788
6	27	3934
7	31	3852
8	34	3779
9	37	3704
10	41	3773
11	45	3777
12	49	3769
13	54	3822
14	58	3864
15	62	3820
16	65	3770
17	68	3714
18	72	3717
19	75	3705
20	78	3660
21	81	3613
22	84	3569
23	89	3621
24	92	3602
25	95	3571
26	98	3535
27	101	3508
28	105	3544
29	108	3516
30	111	3487
31	114	3462
32	117	3436
33	121	3452
34	124	3431
35	127	3408
36	130	3388
37	133	3382
38	137	3394
39	140	3373
40	143	3355
41	146	3341
42	150	3348
43	153	3342
44	157	3340
45	160	3333
46	163	3324
47	166	3308
48	169	3290
49	172	3275
50	177	3299
51	180	3286
52	183	3270
53	185	3257
54	190	3267
55	194	3275
56	197	3262
57	199	3247
58	202	3235
59	206	3242
60	210	3240
61	213	3228
62	216	3216
63	219	3208
64	224	3225
65	227	3215
66	230	3203
67	232	3192
68	235	3180
69	240	3189
70	243	3180
71	246	3182
72	249	3172
73	253	3171
74	257	3173
75	260	3164
76	263	3152
77	265	3142
78	269	3144
79	273	3142
80	276	3132
81	278	3123
82	281	3112
83	286	3128
84	290	3128
85	293	3120
86	296	3114
87	301	3124
88	305	3127
89	308	3119
90	311	3110
91	314	3102
92	319	3111
93	322	3106
94	325	3097
95	328	3089
96	331	3081
97	335	3086
98	338	3079
99	341	3070
100	344	3063
101	347	3059
102	352	3067
103	355	3063
104	359	3063
105	362	3055
106	367	3063
107	370	3056
108	372	3048
109	375	3039
110	378	3031
111	383	3036
112	385	3029
113	388	3021
114	391	3012
115	394	3005
116	398	3008
117	401	3002
118	404	2994
119	407	2986
120	410	2982
121	415	2989
122	418	2983
123	421	2978
124	426	2982
125	431	2990
126	434	2984
127	437	2978
128	440	2973
129	444	2977
130	448	2972
131	451	2972
132	454	2965
133	457	2959
134	462	2962
135	465	2955
136	468	2948
137	470	2941
138	474	2939
139	479	2942
140	482	2938
141	485	2935
142	489	2931
143	493	2934
144	497	2935
145	500	2929
146	503	2923
147	508	2927
148	511	2923
149	514	2917
150	517	2910
151	521	2906
152	526	2912
153	529	2908
154	532	2902
155	535	2895
156	539	2897
157	542	2893
