iter	Passed	Remaining
0	157	156917
1	161	80635
2	164	54621
3	167	41616
4	170	33998
5	175	29027
6	178	25262
7	180	22429
8	185	20398
9	188	18656
10	192	17315
11	196	16207
12	202	15366
13	207	14587
14	210	13813
15	214	13167
16	216	12535
17	219	11993
18	223	11516
19	225	11066
20	228	10670
21	231	10291
22	234	9943
23	237	9639
24	239	9357
25	242	9084
26	245	8830
27	247	8600
28	250	8370
29	252	8165
30	255	7976
31	257	7789
32	260	7629
33	263	7476
34	265	7320
35	268	7177
36	271	7055
37	274	6949
38	277	6832
39	279	6715
40	282	6610
41	285	6517
42	288	6427
43	291	6339
44	294	6246
45	296	6158
46	299	6071
47	303	6016
48	305	5938
49	308	5865
50	311	5792
51	314	5739
52	320	5729
53	323	5666
54	326	5606
55	328	5544
56	333	5523
57	336	5470
58	339	5416
59	342	5364
60	345	5313
61	349	5283
62	352	5238
63	354	5189
64	357	5142
65	360	5096
66	364	5069
67	367	5031
68	369	4991
69	372	4950
70	375	4910
71	378	4873
72	382	4857
73	385	4820
74	388	4786
75	391	4754
76	393	4721
77	397	4693
78	399	4661
79	402	4631
80	405	4599
81	408	4568
82	411	4551
83	414	4521
84	417	4492
85	420	4471
86	423	4443
87	427	4430
88	430	4404
89	432	4377
90	435	4351
91	438	4325
92	442	4315
93	445	4290
94	447	4265
95	450	4242
96	453	4219
97	456	4205
98	460	4186
99	462	4163
100	465	4145
101	468	4123
102	470	4101
103	475	4098
104	478	4078
105	480	4055
106	483	4032
107	485	4013
108	488	3993
109	491	3978
110	494	3960
111	497	3944
112	500	3928
113	503	3915
114	506	3900
115	509	3885
116	512	3870
117	515	3854
118	518	3837
119	520	3820
120	523	3804
121	526	3792
122	529	3777
123	532	3763
124	535	3746
125	539	3745
126	543	3733
127	546	3720
128	548	3706
129	552	3697
130	556	3693
131	560	3683
132	563	3672
133	567	3666
134	570	3657
135	574	3646
136	577	3634
137	579	3622
138	582	3610
139	586	3600
140	588	3587
141	591	3575
142	594	3564
143	598	3559
144	602	3553
145	605	3543
146	608	3532
147	611	3521
148	614	3507
149	616	3494
150	619	3482
151	622	3472
152	625	3461
153	628	3450
154	631	3444
155	634	3432
156	637	3421
157	639	3410
158	642	3399
159	645	3389
160	648	3380
161	651	3368
162	653	3357
163	656	3348
164	659	3337
165	662	3326
166	664	3316
167	667	3306
168	670	3295
169	672	3285
170	675	3277
171	679	3273
172	682	3264
173	687	3264
174	693	3271
175	696	3262
176	699	3253
177	702	3244
178	706	3238
179	708	3228
180	711	3220
181	714	3211
182	717	3205
183	720	3194
184	723	3185
185	726	3178
186	729	3171
187	732	3163
188	735	3155
189	738	3147
190	741	3142
191	747	3147
192	755	3158
193	759	3153
194	761	3145
195	764	3136
196	767	3127
197	770	3119
198	773	3113
199	776	3104
200	778	3096
201	782	3089
202	785	3083
203	788	3077
204	791	3069
205	794	3062
206	797	3054
207	801	3052
208	804	3046
209	807	3038
210	810	3029
211	812	3021
212	815	3014
213	818	3006
214	821	2999
215	824	2994
216	828	2988
217	831	2983
218	834	2975
219	837	2968
220	839	2960
221	842	2953
222	846	2948
223	849	2943
224	853	2940
225	858	2940
226	860	2931
227	863	2924
228	871	2935
229	876	2933
230	878	2926
231	881	2919
232	884	2912
233	887	2905
234	890	2898
235	895	2899
236	902	2904
237	904	2897
238	907	2889
239	910	2881
240	912	2874
241	918	2875
242	920	2867
243	923	2860
244	925	2852
245	928	2845
246	932	2841
247	934	2833
248	937	2826
249	940	2820
250	942	2812
251	944	2804
252	948	2801
253	951	2794
254	953	2786
255	956	2780
256	959	2773
257	963	2769
258	965	2763
259	968	2757
260	971	2751
261	974	2744
262	977	2740
263	981	2735
264	984	2729
265	987	2724
266	989	2717
267	993	2712
268	997	2710
269	1000	2705
270	1003	2699
271	1006	2694
272	1011	2692
273	1013	2686
274	1016	2679
275	1019	2673
276	1022	2667
277	1024	2661
278	1027	2655
279	1030	2648
280	1032	2642
281	1035	2635
282	1037	2629
283	1040	2622
284	1042	2616
285	1045	2609
286	1047	2602
287	1050	2596
288	1052	2590
289	1055	2584
290	1058	2578
291	1060	2572
292	1063	2565
293	1065	2559
294	1068	2553
295	1071	2547
296	1075	2545
297	1077	2539
298	1080	2534
299	1083	2527
300	1085	2521
301	1088	2516
302	1091	2510
303	1093	2504
304	1097	2499
305	1099	2494
306	1102	2489
307	1107	2487
308	1110	2482
309	1112	2476
310	1115	2471
311	1118	2465
312	1122	2464
313	1125	2459
314	1128	2454
315	1131	2449
316	1133	2443
317	1138	2441
318	1140	2435
319	1143	2429
320	1145	2423
321	1148	2418
322	1151	2413
323	1154	2408
324	1156	2402
325	1159	2396
326	1161	2391
327	1164	2386
328	1167	2380
329	1170	2375
330	1173	2371
331	1175	2365
332	1178	2360
333	1181	2355
334	1184	2351
335	1187	2346
336	1189	2340
337	1193	2336
338	1195	2331
339	1198	2327
340	1202	2323
341	1211	2330
342	1214	2325
